"Taxon","FCS_combined_mean","FCS_combined_class","SRS_exsitu","GRS_exsitu","ERS_exsitu","FCS_exsitu","FCS_exsitu_class","SRS_insitu","GRS_insitu","ERS_insitu","FCS_insitu","FCS_insitu_class","FCS_min","FCS_min_class","FCS_max","FCS_max_class","potential_dist_method"
"Prunus serotina var. eximia",8.396,"UP",1.149,0,0,0.383,"UP",14.286,1.605,33.333,16.408,"UP",0.383,"UP",16.408,"UP","50km buffers around occurrence points"
"Prunus pumila var. pumila",9.501,"UP",0.366,0,0,0.122,"UP",11.905,4.737,40,18.88,"UP",0.122,"UP",18.88,"UP","Species distribution model"
"Carya x lecontei",11.482,"UP",0,0,0,0,"UP",0,2.226,66.667,22.964,"UP",0,"UP",22.964,"UP","50km buffers around occurrence points"
"Carya floridana",12.198,"UP",0.091,0,0,0.03,"UP",14.815,8.285,50,24.367,"UP",0.03,"UP",24.367,"UP","Species distribution model"
"Prunus gracilis",16.122,"UP",0,0,0,0,"UP",5.594,1.137,90,32.244,"HP",0,"UP",32.244,"HP","Species distribution model"
"Prunus pumila var. besseyi",17.355,"UP",6.284,0,0,2.095,"UP",6.907,2.052,88.889,32.616,"HP",2.095,"UP",32.616,"HP","Species distribution model"
"Prunus minutiflora",17.637,"UP",0.207,0,0,0.069,"UP",4.762,0.856,100,35.206,"HP",0.069,"UP",35.206,"HP","Species distribution model"
"Prunus caroliniana",17.639,"UP",0.688,0.384,6.25,2.441,"UP",5.828,5.183,87.5,32.837,"HP",2.441,"UP",32.837,"HP","Species distribution model"
"Prunus rivularis",17.799,"UP",0.944,4.249,22.727,9.307,"UP",3.412,2.733,72.727,26.291,"HP",9.307,"UP",26.291,"HP","Species distribution model"
"Prunus virginiana var. virginiana",17.947,"UP",0.208,0.514,8.333,3.018,"UP",10.067,5.227,83.333,32.876,"HP",3.018,"UP",32.876,"HP","Species distribution model"
"Carya x ludoviciana",17.949,"UP",0,0,0,0,"UP",0,7.696,100,35.899,"HP",0,"UP",35.899,"HP","50km buffers around occurrence points"
"Prunus x orthosepala",18.132,"UP",0,0,0,0,"UP",0,8.79,100,36.263,"HP",0,"UP",36.263,"HP","50km buffers around occurrence points"
"Prunus murrayana",18.337,"UP",0,0,0,0,"UP",8.333,1.687,100,36.673,"HP",0,"UP",36.673,"HP","Species distribution model"
"Carya carolinae-septentrionalis",18.389,"UP",0.603,0,0,0.201,"UP",7.725,2.008,100,36.578,"HP",0.201,"UP",36.578,"HP","Species distribution model"
"Castanea x neglecta",18.483,"UP",6.897,0,0,2.299,"UP",0,4.001,100,34.667,"HP",2.299,"UP",34.667,"HP","50km buffers around occurrence points"
